ID,Title,Priority,Type,Module,Prerequisites,Steps,Expected Result
RC-ONBOARDING-001,Language Selection - Default Language,P1,functional,Onboarding,App installed and first launch,"1. Launch app for first time | 2. Observe language selection screen | 3. Verify English is pre-selected | 4. Tap Continue button","Language selection screen appears with flags | English option is pre-selected by default | Continue button is enabled and visible | App displays English UI throughout | Proceeds to Welcome screen smoothly"
RC-ONBOARDING-002,Language Selection - Change to Spanish,P1,functional,Onboarding,App installed and first launch,"1. Launch app for first time | 2. Tap on Spanish language option | 3. Observe UI language change | 4. Tap Continue","Language selection screen appears | Spanish option becomes selected | UI text changes to Spanish instantly | Continue button shows 'Continuar' | App proceeds with Spanish language set"
RC-ONBOARDING-005,Welcome Screen - Swipe Navigation,P1,ui,Onboarding,Language selected,"1. Reach Welcome screen 1 | 2. Swipe left to screen 2 | 3. Swipe left to screen 3 | 4. Swipe right back to screen 2 | 5. Tap Skip or Continue","Welcome screen 1 displays with hero image | Smooth swipe animation to screen 2 | Smooth swipe animation to screen 3 | Backward swipe works correctly | Skip/Continue button navigates to Age Input screen"
RC-ONBOARDING-010,Age Input - Valid Age Entry,P0,functional,Onboarding,Completed Welcome screens,"1. Reach Age Input screen | 2. Enter age: 25 | 3. Tap Continue","Age Input screen displays with number keyboard | Age field accepts numeric input | Value 25 is displayed clearly | Continue button becomes enabled | Proceeds to Gender Selection screen"
RC-ONBOARDING-015,Age Input - Invalid Range Under 13,P0,negative,Onboarding,User at Age Input screen,"1. Enter age: 10 | 2. Tap Continue | 3. Observe validation message","Age input field accepts value 10 | Error message appears: 'Must be 13 or older' | Error displayed in red color | Continue button remains disabled | Cannot proceed to next screen"
RC-ONBOARDING-016,Age Input - Invalid Range Over 100,P0,negative,Onboarding,User at Age Input screen,"1. Enter age: 105 | 2. Tap Continue | 3. Observe validation message","Age input field accepts value 105 | Error message appears: 'Please enter a valid age' | Error displayed in red color | Continue button remains disabled | Cannot proceed to next screen"
RC-ONBOARDING-020,Gender Selection - Select Male,P0,functional,Onboarding,Age entered and validated,"1. Reach Gender Selection screen | 2. Tap Male option | 3. Tap Continue","Gender Selection screen displays with Male/Female/Other options | Male option highlights with visual feedback | Selection is saved visually | Continue button enabled | Proceeds to Health Goal screen"
RC-ONBOARDING-030,Health Goal - Select Weight Loss,P0,functional,Onboarding,Gender selected,"1. Reach Health Goal screen | 2. Tap 'Weight Loss' card | 3. Observe selection | 4. Tap Continue","Health Goal screen displays with 4-6 goal options | Weight Loss card highlights when selected | Goal icon and description visible | Continue button enabled | Proceeds to Activity Level screen"
RC-ONBOARDING-050,Weight Input - Valid Weight in Kg,P0,functional,Onboarding,Activity level selected,"1. Reach Weight Input screen | 2. Ensure Kg is selected | 3. Enter weight: 70 | 4. Tap Continue","Weight Input screen displays with Kg/Lbs toggle | Kg unit is pre-selected | Numeric keyboard appears | Weight value 70 is accepted | Continue button enabled | Proceeds to Height Input screen"
RC-ONBOARDING-090,Complete Onboarding - Muscle Gain Persona,P0,e2e,Onboarding,Fresh app install,"1. Select Language: English | 2. View and skip Welcome screens | 3. Enter Age: 25 | 4. Select Gender: Male | 5. Select Goal: Muscle Gain | 6. Select Activity: Moderate (3-4 days/week) | 7. Enter Weight: 70kg | 8. Enter Height: 175cm | 9. Select Diet: No restrictions | 10. Complete onboarding","Language selected successfully | Welcome screens display with smooth animations | Age 25 accepted and validated | Male gender selection saved | Muscle Gain goal selected and highlighted | Moderate activity level (3-4 days) saved | Weight 70kg validated and saved | Height 175cm validated and saved | Diet preference 'No restrictions' saved | Profile created successfully in database | User redirected to Dashboard | Dashboard displays Muscle Gain specific recommendations | Macro breakdown shows high protein targets | Recommended calorie surplus displayed"
